video_id,title,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment,active_since_days
v=GcdtE-hRrnU,16 LIFE-SAVING TIPS FOR LAZYBONES,900,306096,33,5,1,4,0,1,6.6,1,1,0.0,1460
v=mtL71ElZMEU,10 HACKS TO OPEN ANYTHING THE RIGHT WAY,462,2434804,39,8,0,7,0,2,4.875,1,1,0.14285714285714285,1460
v=SiIFvL9uqhI,13 EFFECTIVE TIPS TO GET FLAWLESS SKIN,900,1622751,38,7,0,6,0,1,5.428571428571429,1,1,0.8,1460
v=dySyMyTusAE,12 COOL SCHOOL DIYs THAT MAKE LIFE EASIER,900,3722008,41,8,0,6,0,1,5.125,1,1,0.35,1460
v=Ohd7jGr26xk,11 AMAZING DIYs FOR KIDS,900,22407803,24,5,0,3,0,1,4.8,1,1,0.6000000000000001,1460
v=GQqGA3afhno,23 HACKS THAT WILL IMPRESS YOU,669,1525571,30,6,0,5,0,3,5.0,1,1,0.0,1460
v=39S9nBf4vFg,16 PAPER DIYs ANYONE CAN MAKE,1020,3159061,29,6,0,4,0,1,4.833333333333333,1,1,0.0,1460
v=ig87QARo_Yk,16 AMAZING DIYs FOR THE BEST PARTY EVER,900,1366923,39,8,0,6,0,2,4.875,1,1,0.8,1460
v=jEoOPGSRDEI,20 FUNNY EXPECTATION VS. REALITY SITUATIONS,404,1170927,43,6,1,5,0,0,7.166666666666667,1,1,0.25,1460
v=kCn3eknHXQg,22 EPIC PHONE HACKS YOU MUST SEE,1140,2933290,32,7,0,6,0,1,4.571428571428571,1,1,0.1,1460
v=9R2pZX97anE,9 BRILLIANT AND EASY WAYS TO GET A GREAT POSTURE,489,6416252,48,10,0,9,0,3,4.8,1,1,0.7111111111111112,1460
v=19VJkP_Mte8,21 PRICELESS TIPS IF YOU SUCK AT COOKING,642,10042370,40,8,0,7,0,3,5.0,1,1,1.0,1460
v=GgkCYrsaBbA,19 ESSENTIAL LIFE HACKS FOR BUSY PEOPLE,900,2731722,39,7,0,6,0,1,5.571428571428571,1,1,0.05,1460
v=0ccy9gTX7Y8,17 SUPER EASY PAINTING HACKS,960,2667224,28,5,0,4,0,0,5.6,1,1,0.3833333333333333,1460
v=TGacdSy4wvs,18 CRAZY CRAFTS YOU GOTTA SEE,900,13806813,29,6,0,5,0,1,4.833333333333333,1,1,-0.6,1460
v=6PI5ZkPuAk8,10 EVERYDAY THINGS THAT DESTROY US,707,2010899,34,6,0,5,0,1,5.666666666666667,1,1,-0.2,1460
v=Q4vzRCmp77E,9 BRILLIANT DIYs TO COOL YOU DOWN,435,390670,33,7,0,5,0,3,4.714285714285714,1,1,0.36481481481481476,1460
v=05rNMD_TdDw,15 TOP SECRET BEAUTY TIPS YOU SHOULD KNOW,900,21950406,41,8,0,7,0,2,5.125,1,1,0.04999999999999999,1460
v=njkg80wZZIM,26 EASY WAYS TO RECYCLE ANYTHING,1080,2350018,32,6,0,5,0,1,5.333333333333333,1,1,0.43333333333333335,1460
v=6GUTznVrtJc,11 SEWING CRAFTS IF YOU CAN'T SEW,749,1363600,33,7,1,6,0,2,4.714285714285714,1,1,0.0,1460
v=XtdGlEVM-AM,16 MIND-BLOWING FACTS ABOUT THE UNIVERSE,1020,5044603,40,6,1,5,0,2,6.666666666666667,1,1,0.0,1460
v=xYc0mdPAWE4,25 EASIEST DOLLAR STORE CRAFTS,900,4509712,30,5,0,4,0,0,6.0,1,1,0.0,1460
v=xY6etk1YAHY,45 FACTS PROVING THAT KNOWLEDGE IS POWER,3600,191722,40,7,0,6,0,2,5.714285714285714,1,1,0.0,1460
v=hqXkw5mG0yk,15 COOL MAGNET LIFE HACKS,507,316751,25,5,0,4,0,0,5.0,1,1,0.35,1460
v=_UAti1DZ_nc,14 BREAKTHROUGH SCIENTIFIC ACHIEVEMENTS,665,388368,39,4,0,3,0,0,9.75,1,1,0.0,1460
v=Km3reT9pOTc,12 CRAZY YET GENIUS COOKING TIPS,696,15836764,32,6,0,5,0,0,5.333333333333333,1,1,-0.6,1460
v=Wx0GZGoMJm8,25 FOODS YOU'VE BEEN EATING WRONG,699,24751517,33,6,1,5,0,2,5.5,1,1,-0.5,1460
v=_DofkVWD_Dk,35 PSYCHOLOGICAL FACTS THAT WILL CHANGE YOUR LIFE,2220,3742899,49,8,0,7,0,3,6.125,1,1,0.0,1460
v=60k4dI4B144,12 WEIRD DIY SCHOOL SUPPLIES YOU SHOULD TRY,475,1415221,43,8,0,7,0,2,5.375,1,1,-0.5,1460
v=bWYu29Jc_0Q,23 MOST UNUSUAL CLEANING HACKS THAT WORK,900,18649980,40,7,0,6,0,2,5.714285714285714,1,1,0.35,1460
v=G9PuexVv-M8,100 BEST MAGIC TRICKS ANYONE CAN DO,2100,6231428,35,7,0,6,0,2,5.0,1,1,0.75,1460
v=DvJ9cSPZnlg,16 WAYS HOW LIFE CHANGES AFTER MARRIAGE,514,501094,39,7,0,6,0,2,5.571428571428571,1,1,0.0,1460
v=nDchp1e9D0w,14 WAYS TO TURN OLD TRASH INTO TREASURE,701,6282418,39,8,0,7,0,2,4.875,1,1,0.1,1460
v=OGvyf9wZ6ec,12 SIMPLE WAYS TO SAY I LOVE YOU,568,421137,32,8,0,7,0,3,4.0,1,1,0.25,1460
v=57yxKK4smCU,100 GREATEST WAYS TO  LIVE TO 100,3600,115437,33,7,0,5,0,2,4.714285714285714,1,1,0.5681818181818181,1460
v=FMNE73Uy8u4,12 AWESOMELY CUTE EASTER DIY GIFTS,613,4763646,34,6,0,5,0,0,5.666666666666667,1,1,0.5,1460
v=Lok-MJpME4o,8 AMAZING WAYS TO PRINT ON ANY SURFACE,342,290065,38,8,0,7,0,3,4.75,1,1,0.6000000000000001,1460
v=I5dlNZXiGXQ,20 WAYS TO TRICK PEOPLE INTO THINKING YOU'RE COOL,900,18658858,49,9,1,8,0,3,5.444444444444445,1,1,0.35,1460
v=7jzI6zYMUwY,17 TOTALLY INSANE KITCHEN TIPS YOU SHOULD TRY,707,1685342,45,8,0,7,0,2,5.625,1,1,-1.0,1460
v=KobgZiEQScw,10 ASTONISHING FACTS ABOUT SCHOOLS,739,212019,34,5,0,4,0,1,6.8,1,1,0.5,1460
v=n8x_3dhBCE0,15 BREATHTAKING PLACES YOU MUST SEE BEFORE YOU DIE,900,138405,50,9,0,8,0,3,5.555555555555555,1,1,1.0,1460
